ResponseId,MainBranch,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,NEWCollabToolsHaveWorkedWith,OpSys,Age,Gender,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,CodingActivities,NEWCollabToolsWantToWorkWith
14735,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,"1,000 to 4,999 employees",5,5,"Developer, full-stack",24587.0,HTML/CSS;JavaScript;TypeScript,Elixir;HTML/CSS;TypeScript,PostgreSQL,Elasticsearch;PostgreSQL,AWS;Linux;MacOS;Slack,AWS;Docker;Google Cloud Platform;Kubernetes;Linux,Express;React.js,Other(s):,,MacOS,28.0,Man,Node.js,,,
14748,I code primarily as a hobby,"Independent contractor, freelancer, or self-employed","Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,,20,,,HTML/CSS;Java;JavaScript,HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,,Microsoft SQL Server;MySQL,,Android;Google Cloud Platform,,,,MacOS,54.0,Man,,,Hobby,
14816,I am a student who is learning to code,Employed full-time,Some college/university study without earning a degree,,,4,"Academic researcher;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Marketing or sales professional;Student",,Assembly;Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;R;TypeScript;Other(s):,Assembly;Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;R;SQL;TypeScript;Other(s):,MongoDB;Microsoft SQL Server,MongoDB;Microsoft SQL Server;Oracle,Microsoft Azure;Windows,Docker;Kubernetes;Microsoft Azure;Windows,Angular/Angular.js;ASP.NET,Angular/Angular.js;ASP.NET,,Windows,42.0,Man,.NET;.NET Core,.NET;.NET Core;Node.js,Hobby,
14833,I am a developer by profession,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",2-9 employees,7,15,"Developer, mobile",,C#;Java;Objective-C;Swift,C#;Java;Kotlin;Swift,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,Android;Arduino;iOS;Microsoft Azure;Windows,Android;iOS;Microsoft Azure,,,,MacOS,31.0,Man,,Xamarin,Hobby,
14881,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",19,9,"Data or business analyst;Designer;Developer, front-end;Senior executive/VP;Student",66876.0,HTML/CSS;JavaScript,HTML/CSS;JavaScript,MongoDB;Redis,Elasticsearch;MongoDB;Redis,Docker;Heroku;Kubernetes;Linux;MacOS;Slack;Other(s):,Docker;Kubernetes;Linux;MacOS;Slack;Other(s):,Angular/Angular.js;Express;jQuery;React.js,Express;React.js,,MacOS,29.0,Man,Node.js,Node.js;React Native,Hobby;Contribute to open-source projects,
14908,I am a developer by profession,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,6,8,"Academic researcher;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, mobile;Product manager;Scientist;Student",8196.0,C#;Go;Java;SQL,C#;HTML/CSS;JavaScript;Kotlin;Python;Swift,PostgreSQL;SQLite,Firebase;MongoDB;SQLite,Android;Arduino;Heroku;Microsoft Azure;Windows,Android;Arduino;AWS;Docker;Google Cloud Platform;Microsoft Azure;Raspberry Pi;Windows,ASP.NET,ASP.NET,,Windows,25.0,Man,.NET;.NET Core;Xamarin,.NET Core;Node.js;React Native;TensorFlow;Torch/PyTorch,Hobby;Contribute to open-source projects,
14977,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,6,10,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Educator",32784.0,Bash/Shell/PowerShell;C++;C#;Elixir;HTML/CSS;Java;JavaScript;Python;Ruby;SQL,Elixir;HTML/CSS;JavaScript;Python;Ruby,DynamoDB;Elasticsearch;Firebase;MongoDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,DynamoDB;Elasticsearch;Firebase;MongoDB;PostgreSQL;Redis,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi;Slack;Windows,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;Linux;MacOS;Raspberry Pi;Slack,Angular/Angular.js;ASP.NET;Django;Express;jQuery;React.js;Ruby on Rails;Vue.js,Django;Express;jQuery;React.js;Ruby on Rails;Vue.js,,MacOS,26.0,Man,Cordova;Flutter;.NET;.NET Core;Node.js;React Native;TensorFlow;Unreal Engine,Flutter;Node.js;React Native;TensorFlow,Hobby;Contribute to open-source projects,
14983,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",10,12,"Developer, back-end",31476.0,C#;Java;JavaScript;Ruby;SQL,Clojure;Elixir;Go;Kotlin;Python;Ruby;Rust,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,Cassandra;Elasticsearch;PostgreSQL;Redis,AWS;Docker;Linux;Slack,AWS;Docker;Heroku;Kubernetes;Linux;Slack,Express;Ruby on Rails;Spring,Ruby on Rails;Spring,,Linux-based,30.0,Man,.NET;.NET Core;Node.js,.NET Core;Pandas;TensorFlow,,
14989,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,7,9,"Academic researcher;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics",9840.0,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,C++;HTML/CSS;JavaScript;PHP;SQL,Microsoft SQL Server;MySQL;Oracle,MySQL,Microsoft Azure;Windows;Other(s):,Windows;Other(s):,ASP.NET;jQuery;React.js,,,Windows,25.0,Man,.NET;.NET Core;Node.js,,Hobby;Contribute to open-source projects,
15033,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,3,6,"Database administrator;Developer, back-end;Developer, full-stack;DevOps specialist;System administrator",14748.0,Bash/Shell/PowerShell;C#;SQL,Bash/Shell/PowerShell;C#;Go;Python;SQL;VBA,DynamoDB;Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,AWS;Docker;Linux;Slack;Windows,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure,ASP.NET;jQuery,ASP.NET,,Windows,24.0,Woman,.NET;.NET Core,.NET;.NET Core,,
15039,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,3,6,"Designer;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile",10692.0,HTML/CSS;Java;JavaScript;SQL,Go;HTML/CSS;Java;JavaScript;Kotlin,MySQL;PostgreSQL;Redis,Elasticsearch;PostgreSQL;Redis,Android;Docker;iOS;Windows;WordPress,Android;iOS;Windows;WordPress,Express;jQuery;React.js;Spring,Express;React.js;Vue.js,,Windows,22.0,Man,Cordova;Node.js;React Native,Cordova;Node.js;React Native;Unity 3D;Unreal Engine,Hobby;Contribute to open-source projects,
15042,I am a developer by profession,Employed full-time,Associate degree,500 to 999 employees,5,6,"Developer, full-stack;Student",17376.0,HTML/CSS;Java;JavaScript;PHP;Python;SQL;Other(s):,HTML/CSS;Java;JavaScript,Elasticsearch;PostgreSQL,Redis,Docker;Google Cloud Platform;Linux;Windows;WordPress,Docker;Google Cloud Platform;Kubernetes;Linux,Express;jQuery;Vue.js,Angular/Angular.js;Express;jQuery;React.js;Vue.js,,Windows,27.0,Man,Cordova;Node.js;React Native,Cordova;Node.js;React Native,Contribute to open-source projects,
15062,I am a developer by profession,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",500 to 999 employees,8,10,"Developer, back-end;Developer, full-stack",22944.0,HTML/CSS;JavaScript;PHP;SQL,Assembly;C;Python,Microsoft SQL Server;MySQL,Firebase;MongoDB,,AWS;Docker,jQuery,React.js,,Linux-based,27.0,Woman,,Flutter;Pandas;React Native,Hobby,
15134,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,2-9 employees,15,17,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile",14748.0,C++;C#;HTML/CSS;JavaScript;PHP;R,C++;JavaScript;PHP;Python;R,Firebase;MariaDB;Microsoft SQL Server;MySQL;SQLite,Firebase;MariaDB;MySQL,Linux;Windows;WordPress,Linux;WordPress,ASP.NET;Laravel;Vue.js,ASP.NET;Laravel;Vue.js,,Linux-based,31.0,Man,.NET Core;Xamarin,.NET Core;Xamarin,Hobby;Contribute to open-source projects,
15226,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,3,6,"Developer, back-end;Developer, mobile",22944.0,Bash/Shell/PowerShell;Go;Java;Kotlin;Objective-C;Python;SQL;Swift,Bash/Shell/PowerShell;Go;Java;Kotlin;Python;SQL,Cassandra;Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Redis,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Redis,Android;Docker;Google Cloud Platform;Heroku;iOS;Kubernetes;Linux;MacOS;Microsoft Azure,Android;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS,Spring,Spring,,MacOS,21.0,Man,,Ansible;Chef;Hadoop;Puppet;TensorFlow,Hobby;Contribute to open-source projects,
15280,I am a developer by profession,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,Less than 1 year,4,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Student",4260.0,JavaScript,C#;HTML/CSS;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,MariaDB;SQLite,PostgreSQL;SQLite,Android;Google Cloud Platform;iOS;Linux;MacOS;Windows,Android;AWS;Docker;iOS;Linux;MacOS;Raspberry Pi,Laravel;React.js,Angular/Angular.js;Express;React.js;Spring;Vue.js,,MacOS,19.0,Man,Node.js;React Native,Flutter;Node.js;React Native,Hobby,
15346,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,2,7,"Developer, full-stack",14748.0,C#;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,C#;Elixir;Go;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,MySQL;Redis,Firebase;MongoDB;MySQL;Redis,IBM Cloud or Watson;Linux;MacOS;Microsoft Azure;Slack;Windows,Docker;Kubernetes;Linux;MacOS;Microsoft Azure,Angular/Angular.js;ASP.NET;jQuery;Ruby on Rails,ASP.NET;Express;React.js;Ruby on Rails;Vue.js,,Windows,26.0,Man,.NET Core;Node.js;Pandas,.NET Core;Node.js;Pandas,Hobby,
15394,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,5,9,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",19668.0,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript;VBA,Go;HTML/CSS;JavaScript;Python;Rust;TypeScript,Firebase;MariaDB;MongoDB;Microsoft SQL Server;MySQL;PostgreSQL,MongoDB;PostgreSQL;Redis,Android;AWS;Docker;Heroku;Linux;Raspberry Pi;Slack;Windows;WordPress,Docker;Heroku;Kubernetes;Linux;Raspberry Pi;Slack,Angular/Angular.js;Django;Express;Flask;jQuery;React.js;Vue.js,Django;Express;Flask;React.js;Vue.js,,Linux-based,27.0,Man,Node.js;React Native,Node.js;React Native;TensorFlow,Hobby;Contribute to open-source projects,
15429,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,3,5,"Academic researcher;Developer, back-end",7536.0,Bash/Shell/PowerShell;JavaScript;PHP;SQL,Bash/Shell/PowerShell;PHP;Python;SQL,MariaDB;PostgreSQL;SQLite,MariaDB;MongoDB;PostgreSQL,AWS;Docker;Linux;Slack,AWS;Docker;Kubernetes;Linux;Slack,Angular/Angular.js;jQuery,Angular/Angular.js;Django;React.js,,Linux-based,21.0,Man,Node.js;TensorFlow,React Native,Contribute to open-source projects,
15431,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,500 to 999 employees,10,14,"Developer, front-end;Student",116100.0,HTML/CSS;JavaScript;PHP;Ruby,Clojure;Go;Python;TypeScript,MongoDB;Microsoft SQL Server;Redis,DynamoDB;Elasticsearch;MariaDB;MySQL,Heroku;Linux;MacOS;Slack;Windows;WordPress,Android;Arduino;AWS;Docker;Google Cloud Platform;IBM Cloud or Watson;iOS;Kubernetes;Microsoft Azure,Express;jQuery;Ruby on Rails,Angular/Angular.js;Laravel;React.js;Spring;Vue.js,,Linux-based,31.0,Man,Chef;Node.js,Hadoop;TensorFlow,Hobby;Contribute to open-source projects,
15459,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,"10,000 or more employees",2,2,"Academic researcher;Developer, full-stack;Student",8196.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,Microsoft SQL Server;Oracle,MongoDB;Microsoft SQL Server;SQLite,Arduino;Microsoft Azure;Windows;WordPress,AWS;Docker;Heroku;Linux,Angular/Angular.js;ASP.NET;Express;jQuery;Vue.js,Angular/Angular.js;ASP.NET;Express;React.js;Vue.js,,Windows,21.0,Man,Cordova;.NET;.NET Core;Node.js,Cordova;.NET;.NET Core;Node.js,Hobby,
15493,I am a developer by profession,Employed full-time,,10 to 19 employees,4,6,"Developer, full-stack;Developer, mobile;Student",28700.0,C#;HTML/CSS;JavaScript;SQL,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Android;iOS;Linux;Windows,Android;AWS;iOS;Linux,ASP.NET;Vue.js,ASP.NET;React.js;Vue.js,,Windows,20.0,Woman,Cordova;.NET;.NET Core,.NET Core;Node.js;React Native,Hobby;Contribute to open-source projects,
15545,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,3,11,"Developer, full-stack",15576.0,HTML/CSS;JavaScript;PHP;SQL,Dart;Elixir;Go;HTML/CSS;JavaScript;Python;Ruby;Rust;Scala;SQL;TypeScript,MongoDB;MySQL,MongoDB;MySQL,Heroku;Linux;MacOS;Slack;WordPress,Heroku;Linux;MacOS;Slack,Express;React.js,Express;Laravel;React.js;Ruby on Rails,,MacOS,26.0,Man,Node.js,Node.js,Contribute to open-source projects,
15642,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",9,9,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile",,C;C++;C#;HTML/CSS;JavaScript;SQL,C++;C#;F#;HTML/CSS;JavaScript;Objective-C,Cassandra;DynamoDB;MongoDB;Microsoft SQL Server;Oracle;SQLite,Cassandra;DynamoDB;MongoDB,Android;AWS;Docker;Google Cloud Platform;IBM Cloud or Watson;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Slack;Windows;WordPress,Android;Arduino;AWS;IBM Cloud or Watson;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,Angular/Angular.js;ASP.NET;jQuery;React.js;Vue.js,ASP.NET;React.js,,Windows,,,Cordova;CryEngine;.NET;.NET Core;Unity 3D;Unreal Engine;Xamarin,Cordova;CryEngine;.NET;.NET Core;React Native;Unreal Engine;Xamarin,Hobby;Contribute to open-source projects,
15646,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,3,4,"Developer, front-end",22296.0,HTML/CSS;Java;JavaScript;SQL,HTML/CSS;Java;JavaScript;Objective-C,MongoDB;MySQL,MongoDB;MySQL,Docker;Google Cloud Platform;Kubernetes;Linux;Slack,Android;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;Slack,Angular/Angular.js;React.js,React.js;Vue.js,,Linux-based,25.0,Man,Node.js,React Native,,
15677,I am a developer by profession,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","1,000 to 4,999 employees",6,11,Academic researcher;Educator;Scientist,,C;C++;C#;HTML/CSS;Java;JavaScript;Python;R;SQL,C;C++;C#;HTML/CSS;JavaScript;Python,Microsoft SQL Server;MySQL,Microsoft SQL Server;MySQL,Android;Arduino;Linux;Windows,Arduino;Linux;Windows,Angular/Angular.js;Django;Drupal;jQuery,Angular/Angular.js;Django;jQuery,,Windows,29.0,Man,.NET;.NET Core;Pandas;TensorFlow,.NET;.NET Core;Pandas,Contribute to open-source projects,
15774,I code primarily as a hobby,,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,,16,,,Assembly;Bash/Shell/PowerShell;C,Assembly;Bash/Shell/PowerShell;C,Redis,Redis,,Raspberry Pi,,,,BSD,28.0,"Non-binary, genderqueer, or gender non-conforming",,,Hobby;Contribute to open-source projects,
15900,I am a developer by profession,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,5,8,"Developer, desktop or enterprise applications;Developer, full-stack;Student",30156.0,Bash/Shell/PowerShell;C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript;Other(s):,C#;Elixir;Go;JavaScript;R;SQL;TypeScript;Other(s):,Elasticsearch;MariaDB;PostgreSQL;Redis;SQLite,Elasticsearch;PostgreSQL;Redis;SQLite,AWS;Docker;Linux;Microsoft Azure;Slack;Windows,AWS;Docker;MacOS;Microsoft Azure;Slack;Windows,Express;Flask;jQuery;React.js;Spring,Express;Flask;React.js,,Windows,23.0,Man,Chef;.NET;Node.js;Puppet,Flutter;.NET;.NET Core;Node.js;Xamarin,Hobby;Contribute to open-source projects,
16028,I am a developer by profession,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,Less than 1 year,9,"Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Student",22944.0,C#;HTML/CSS;JavaScript;TypeScript,Clojure;Dart;Go;HTML/CSS;JavaScript;Python;Rust,Elasticsearch;Microsoft SQL Server,DynamoDB;MongoDB;PostgreSQL,Docker,Android;AWS;Docker;Kubernetes;Linux,ASP.NET;Express;React.js,Express;React.js;Vue.js,,Linux-based,24.0,Man,.NET Core;Node.js,Flutter;Node.js;React Native,Hobby,
16080,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",23,30,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, full-stack;Developer, game or graphics;Developer, mobile;System administrator",23604.0,C#;HTML/CSS;Java;JavaScript;PHP;SQL,Dart;HTML/CSS;Java;JavaScript;PHP;SQL;Swift;TypeScript,MariaDB;PostgreSQL;SQLite;Other(s):,MariaDB;PostgreSQL;SQLite,Android;Windows,Android;Google Cloud Platform;iOS,Angular/Angular.js;Other(s):,Angular/Angular.js;Vue.js;Other(s):,,Windows,,Man,React Native;Xamarin,React Native;Unity 3D,Contribute to open-source projects,
16206,I am a student who is learning to code,Employed part-time,Primary/elementary school,,,2,"Developer, back-end;Student",,Bash/Shell/PowerShell;C;C#;HTML/CSS;Java;SQL;TypeScript;Other(s):,HTML/CSS;Java;Python;SQL;TypeScript,MySQL;Oracle,MySQL;Oracle,Heroku;Linux;Windows,Linux,Angular/Angular.js,Angular/Angular.js;Django;Spring,,Linux-based,21.0,Man,,,Contribute to open-source projects,
16332,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Bachelor’s degree (BA, BS, B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",17,22,"Developer, back-end;Developer, desktop or enterprise applications;Student",52452.0,C;Go;HTML/CSS;JavaScript;Ruby;SQL,C;Go;Ruby;Swift,Oracle;PostgreSQL;SQLite;Other(s):,PostgreSQL;Redis;SQLite,Docker;Heroku;Linux;MacOS;Raspberry Pi;Windows,AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;MacOS;Raspberry Pi,jQuery;Ruby on Rails,jQuery;Vue.js,,Windows,36.0,Man,,.NET Core;TensorFlow,Hobby;Contribute to open-source projects,
16440,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,4,9,"Data or business analyst;Database administrator;Developer, back-end;DevOps specialist;Product manager;Senior executive/VP",,C#;Elixir;Erlang;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,Elixir;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,Elasticsearch;PostgreSQL;Redis,Elasticsearch;PostgreSQL;Redis,Google Cloud Platform;Kubernetes;Linux,Google Cloud Platform;Kubernetes;Linux,Ruby on Rails;Other(s):,Ruby on Rails;Other(s):,,Linux-based,25.0,Man,.NET Core;Node.js,.NET Core;Node.js,Hobby;Contribute to open-source projects,
16450,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,Less than 1 year,3,"Database administrator;Developer, back-end;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Engineer, data",19668.0,HTML/CSS;JavaScript;Kotlin;SQL;Swift,HTML/CSS;JavaScript;Kotlin;SQL;Swift,Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL,Elasticsearch;Firebase;MongoDB;MySQL;PostgreSQL,Android;Arduino;AWS;Google Cloud Platform;Heroku;iOS;MacOS;Microsoft Azure;Slack,Android;AWS;Google Cloud Platform;Heroku;iOS;MacOS;Slack,Express,Express,,MacOS,23.0,Man,Node.js,Node.js,Hobby,
16454,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",2,3,Data or business analyst;Data scientist or machine learning specialist,26232.0,Python;R;SQL,Python;SQL;Other(s):,MySQL;SQLite;Other(s):,MySQL;SQLite;Other(s):,Google Cloud Platform,Google Cloud Platform,,,,Windows,31.0,Man,,Apache Spark;Hadoop;Pandas;TensorFlow,Hobby;Contribute to open-source projects,
16526,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",10,15,"Data or business analyst;Developer, back-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, QA or test;DevOps specialist;Engineer, data;Product manager;System administrator",68298.0,Bash/Shell/PowerShell;Python;SQL,HTML/CSS;Java;JavaScript;Python;SQL;Swift;TypeScript,Microsoft SQL Server;PostgreSQL,DynamoDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,AWS;Docker,Android;AWS;iOS;MacOS;Slack;Windows,Flask,Angular/Angular.js;Django;Flask;jQuery;React.js,,Windows,36.0,Man,,Pandas;TensorFlow;Other(s):,,
16555,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Associate degree,2-9 employees,14,15,"Developer, full-stack;Product manager;Senior executive/VP",19668.0,HTML/CSS;JavaScript;PHP;SQL,Go;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL,Elasticsearch;Firebase;MariaDB;MySQL;Redis,Elasticsearch;MariaDB;MySQL;Redis,AWS;Google Cloud Platform;Linux;MacOS;WordPress,AWS;Docker;Google Cloud Platform;Linux;MacOS,Laravel;React.js,Django;Laravel;React.js;Ruby on Rails;Vue.js,,MacOS,32.0,Man,Node.js,Node.js;React Native,Hobby;Contribute to open-source projects,
16594,I am a student who is learning to code,"Not employed, but looking for work","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,4,Student,,HTML/CSS;Java;JavaScript;Python,C;C++;HTML/CSS;Java;JavaScript;Python,Firebase,Firebase;SQLite,Android,Android;Linux,,,,Linux-based,17.0,Man,,,Hobby,
16671,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Some college/university study without earning a degree,2-9 employees,4,7,"Designer;Developer, desktop or enterprise applications;Developer, full-stack;Developer, game or graphics;Developer, mobile;Student",4260.0,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,C#;HTML/CSS;JavaScript;Kotlin;Python;Swift;TypeScript,Firebase;MongoDB,Firebase,Android;Linux;MacOS,Android;Google Cloud Platform;iOS;MacOS,Angular/Angular.js,Angular/Angular.js,,MacOS,25.0,Man,,Pandas;TensorFlow;Unity 3D,Hobby;Contribute to open-source projects,
16840,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,7,9,"Developer, full-stack;Developer, mobile",15408.0,HTML/CSS;Java;JavaScript;SQL,HTML/CSS;Java;JavaScript,MySQL;Oracle,MySQL;Oracle,Arduino;Docker;Linux,Arduino;Docker;Linux,jQuery;React.js,React.js,,Linux-based,29.0,Man,,,Hobby,
16848,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,9,10,"Developer, full-stack;Senior executive/VP",29508.0,HTML/CSS;JavaScript;R;Ruby;SQL,Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL,PostgreSQL;Redis,PostgreSQL;Redis,IBM Cloud or Watson;Linux;Slack,Android;Docker;Heroku;IBM Cloud or Watson;iOS;Linux;Slack,Angular/Angular.js;jQuery;Ruby on Rails,jQuery;React.js;Ruby on Rails,,Linux-based,27.0,Man,,React Native,Hobby;Contribute to open-source projects,
16920,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",16,20,"Developer, embedded applications or devices;DevOps specialist;System administrator",524520.0,Bash/Shell/PowerShell;C;C++;Python,C;C++;Go;Python,SQLite,MongoDB,Docker;Linux,Android;Docker;Linux;Raspberry Pi,,,,Linux-based,39.0,Man,Other(s):,Other(s):,Hobby;Contribute to open-source projects,
16960,I am a developer by profession,Employed full-time,Some college/university study without earning a degree,100 to 499 employees,5,5,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack",13116.0,HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;Python;SQL;WebAssembly,MariaDB;MongoDB;MySQL;PostgreSQL,MongoDB;PostgreSQL,AWS;Docker;Google Cloud Platform;Heroku;Linux,AWS;Docker;Linux,jQuery;Laravel;React.js,React.js;Vue.js,,Linux-based,22.0,Man,,,Hobby;Contribute to open-source projects,
17013,I am a developer by profession,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,7,13,"Developer, back-end;DevOps specialist;Engineer, site reliability;System administrator",,Bash/Shell/PowerShell;C;C++;Go;Java;JavaScript;Python,Bash/Shell/PowerShell;Go;JavaScript;Python,MongoDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,MongoDB;PostgreSQL;Redis,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Windows,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure,Express;Flask,,,Linux-based,30.0,Man,Ansible;Node.js;Puppet,Ansible;Node.js,Hobby;Contribute to open-source projects,
