ResponseId,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,DevEnviron,OpSys,Age,Gender,CodingActivities,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MainBranch
19336,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,0-2 years,6-8 years,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,7488.0,C;C++;JavaScript;PHP;SQL;Delphi/Object Pascal,C#;F#;Go;JavaScript;PHP;SQL;Delphi/Object Pascal,PostgreSQL;Oracle,MySQL;PostgreSQL;Oracle;Google Cloud Storage;Elasticsearch,Linux;Mac OS;Firebase,Android;Apple Watch or Apple TV;Arduino;Azure;iOS;Linux;Mac OS;Raspberry Pi;Firebase,React,.NET Core;React,Android Studio;Sublime Text;Xcode,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
19436,Employed part-time,Some college/university study without earning a degree,"1,000 to 4,999 employees",0-2 years,3-5 years,Back-end developer;Desktop or enterprise applications developer;Full-stack developer;Student,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
19465,Employed full-time,Some college/university study without earning a degree,Fewer than 10 employees,,6-8 years,"C-suite executive (CEO, CTO, etc.)",,C;C++;C#;Go;JavaScript;PHP;Python;SQL;Swift;HTML;CSS,C;C++;C#;Go;JavaScript;PHP;Python;SQL;Swift;HTML;CSS,MongoDB;SQL Server;MySQL,Cassandra;MongoDB;SQL Server;MySQL,Android;Linux,Android;Linux,,,,,,,Hobby;Contribute to open-source projects,,,,,
19503,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,,15-17 years,Desktop or enterprise applications developer,,C#;Delphi/Object Pascal,C#;Delphi/Object Pascal,SQLite,SQLite;Oracle,Android;Linux;Salesforce,Android;Linux;Salesforce,,,Visual Studio,,,,Hobby;Contribute to open-source projects,,,,,
19549,Employed full-time,Some college/university study without earning a degree,10 to 19 employees,0-2 years,0-2 years,Back-end developer;Database administrator;Engineering manager;Front-end developer;Full-stack developer,10404.0,,,,,,,,,,,,,Contribute to open-source projects,,,,,
19589,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,12-14 years,15-17 years,Back-end developer;Full-stack developer,29004.0,Java,Java;Python,PostgreSQL;Oracle,PostgreSQL;Oracle,,,Spring,Angular;Django;Spark;Spring;TensorFlow,Eclipse,Linux-based,25 - 34 years old,Male,Contribute to open-source projects,,,,,
19803,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",3-5 years,6-8 years,Back-end developer;Full-stack developer;QA or test developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
19876,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,3-5 years,6-8 years,Back-end developer;Database administrator;DevOps specialist;Full-stack developer,22452.0,C;C++;C#;Clojure;Go;Java;Objective-C;PHP;Python;Ruby;Rust;Swift;Delphi/Object Pascal,Clojure;Erlang;Go;Python;Rust,Cassandra;MongoDB;Redis;SQL Server;MySQL;PostgreSQL;Apache HBase;Google BigQuery;Google Cloud Storage;Elasticsearch,Cassandra;MongoDB;Redis;MySQL;PostgreSQL;Google BigQuery;Google Cloud Storage,Android;Arduino;AWS;Heroku;iOS;Linux;Firebase,Android;Arduino;AWS;Heroku;iOS;Linux;Firebase,Django,Angular;Django;React;TensorFlow,Android Studio;IPython / Jupyter;PyCharm;Sublime Text;Vim;Xcode,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
19930,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,12-14 years,12-14 years,"C-suite executive (CEO, CTO, etc.);Desktop or enterprise applications developer;Mobile developer;Product manager",10860.0,SQL;Delphi/Object Pascal,SQL;Delphi/Object Pascal,SQL Server,,Android;Windows Desktop or Server;Firebase,Android;Windows Desktop or Server;Firebase,,,Notepad++,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
19952,Employed full-time,Some college/university study without earning a degree,"5,000 to 9,999 employees",6-8 years,6-8 years,Full-stack developer;Student,18720.0,Groovy;Java;JavaScript;PHP;SQL;HTML;CSS,C#;F#;Go;Groovy;Haskell;Scala,MySQL;Oracle,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",,Amazon Echo;AWS;IBM Cloud or Watson;Mainframe;Windows Desktop or Server,,.NET Core,Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
20025,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,0-2 years,3-5 years,Back-end developer;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;Student,,Java;JavaScript;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,C;C++;Java;JavaScript;PHP;Ruby;SQL;Kotlin;HTML;CSS;Bash/Shell,SQL Server;MySQL;Elasticsearch,MongoDB;SQL Server;MySQL;Elasticsearch,Android;Arduino;iOS;Linux,Android;Arduino;iOS;Linux,Node.js,Node.js,Android Studio;Atom;IntelliJ;PHPStorm;Sublime Text;Vim;Visual Studio Code,Linux-based,,,Contribute to open-source projects,,,,,
20111,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees,18-20 years,18-20 years,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data or business analyst;Database administrator;Embedded applications or devices developer;Engineering manager;Front-end developer;System administrator",,,,,,,,,,,,,,Contribute to open-source projects,,,,,
20114,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,,12-14 years,Back-end developer;Data scientist or machine learning specialist,,Assembly;C;Java;Python,Python;Kotlin,MongoDB;MySQL;PostgreSQL;SQLite;Memcached,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
20120,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,6-8 years,6-8 years,Database administrator;Desktop or enterprise applications developer,842172.0,C#;Java;Objective-C;PHP;SQL;HTML;CSS,C++;C#;Java;JavaScript;SQL;HTML;CSS,SQL Server;MySQL;SQLite;Oracle,SQL Server;MySQL;SQLite;Oracle,Android;Arduino;Windows Desktop or Server,Android;Azure;Windows Desktop or Server;Windows Phone,.NET Core;Xamarin,Angular;.NET Core;Node.js;React;Xamarin,Android Studio;Eclipse;NetBeans;Visual Studio;Visual Studio Code,Windows,25 - 34 years old,Male,Contribute to open-source projects,,,,,
20140,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","10,000 or more employees",12-14 years,12-14 years,Back-end developer;Desktop or enterprise applications developer;Full-stack developer,37428.0,C++;C#;Java;JavaScript;Lua;SQL;TypeScript;VBA;VB.NET;Visual Basic 6;Delphi/Object Pascal;HTML;CSS;Bash/Shell,C#;JavaScript;SQL;Bash/Shell,Cassandra;MongoDB;SQL Server;MySQL;SQLite;Oracle;MariaDB;Memcached,Cassandra;MongoDB;SQL Server,Linux;Mainframe;Salesforce;SharePoint;Windows Desktop or Server,Linux,Angular;.NET Core;Hadoop;Node.js;React;Spring,Angular;.NET Core;Hadoop;Node.js;React,Notepad++;Visual Studio,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
20171,Employed full-time,Some college/university study without earning a degree,"1,000 to 4,999 employees",3-5 years,3-5 years,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;Student,,Java;JavaScript;HTML;CSS;Bash/Shell,C;C#;Groovy;Rust,MongoDB;Redis;SQL Server;MySQL;SQLite;Oracle,Neo4j;Elasticsearch,Android;iOS;Linux;Windows Desktop or Server,Arduino;AWS,Angular;Node.js;React;Spring,Angular;Node.js;React,Eclipse;Notepad++;Visual Studio Code,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
20245,Employed full-time,Some college/university study without earning a degree,20 to 99 employees,,6-8 years,,,Java;SQL,JavaScript;Python;SQL;Bash/Shell,PostgreSQL,Redis;PostgreSQL,Heroku;Linux;Windows Desktop or Server,Heroku;Linux,Django,Django;Node.js,NetBeans;PyCharm;Vim;Visual Studio Code,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
20430,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",20 to 99 employees,6-8 years,9-11 years,"C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Database administrator",146865.0,C++;PHP;Python;SQL,C++;Python;SQL,MySQL;Google BigQuery;Google Cloud Storage,MySQL;Google BigQuery;Google Cloud Storage,,,,,IPython / Jupyter;PyCharm,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
20455,Employed full-time,Associate degree,500 to 999 employees,0-2 years,3-5 years,Back-end developer;Data or business analyst,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
20456,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees,0-2 years,3-5 years,Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
20512,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","1,000 to 4,999 employees",,6-8 years,Back-end developer;Front-end developer;Full-stack developer,,,,,,,,,,,,,,Contribute to open-source projects,,,,,
20663,Employed full-time,Associate degree,20 to 99 employees,9-11 years,9-11 years,Back-end developer;Desktop or enterprise applications developer,30692.0,C;C++;Go;JavaScript;Python;R;Scala;SQL;TypeScript;Bash/Shell,C++;Java;Python;R;Scala;Kotlin,Redis;MySQL;Amazon DynamoDB;Amazon RDS/Aurora,Cassandra;Redis;Amazon Redshift;Elasticsearch,AWS;Serverless;Windows Desktop or Server,AWS;Azure;Google Cloud Platform/App Engine;Serverless;Firebase,Node.js,TensorFlow,Notepad++;Vim;Visual Studio Code,Windows,25 - 34 years old,Female,Contribute to open-source projects,,,,,
20681,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,,3-5 years,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Front-end developer;Full-stack developer;Mobile developer;Student,,C;C++;C#;Java;JavaScript;PHP;HTML,Java;JavaScript;PHP;HTML;CSS,SQL Server;MySQL;SQLite,MySQL;SQLite,Android;Arduino;Windows Desktop or Server;Windows Phone,Android;Arduino;Windows Desktop or Server,Node.js,Node.js,Android Studio;IntelliJ;Notepad++;Visual Studio;Visual Studio Code,Windows,,,Contribute to open-source projects,,,,,
20691,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,15-17 years,30 or more years,Back-end developer;DevOps specialist;Front-end developer;Full-stack developer,,C;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,Assembly;C;Go;Lua;Python;Rust;SQL;HTML;CSS;Bash/Shell,Redis;MySQL;PostgreSQL;MariaDB;Elasticsearch,Redis;PostgreSQL;MariaDB;Neo4j,AWS;Linux,Linux,Angular;Django,Django;TensorFlow;Torch/PyTorch,IPython / Jupyter;Vim,Linux-based,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
20701,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees,3-5 years,3-5 years,Back-end developer;Front-end developer;Full-stack developer,6360.0,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
20722,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",,0-2 years,,9360.0,JavaScript;PHP;Python;Ruby;HTML;CSS,Java;Python;Ruby,,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Oracle,,,Node.js,Django;React;Spring,Eclipse;IntelliJ;NetBeans;Notepad++;Sublime Text;Visual Studio Code,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
20743,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","1,000 to 4,999 employees",0-2 years,18-20 years,Desktop or enterprise applications developer;Full-stack developer;Student,4944.0,Java;JavaScript;HTML;CSS;Bash/Shell,C;C++;C#;Java;JavaScript;PHP;HTML;CSS;Bash/Shell,MySQL,MySQL;PostgreSQL;Oracle;MariaDB,Android;Linux;Raspberry Pi;Windows Desktop or Server,Android;iOS;Linux;Mac OS;Mainframe;Raspberry Pi;Windows Desktop or Server,Hadoop;Spring,Hadoop;Spring,Android Studio;NetBeans;Notepad++;Vim;Visual Studio Code,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
20747,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10 to 19 employees,3-5 years,3-5 years,Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;QA or test developer,18720.0,C#;Java;JavaScript;PHP;SQL;TypeScript;VB.NET;HTML;CSS,CoffeeScript;Go;Java;Python;Ruby,MongoDB;SQL Server,"MongoDB;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",,Arduino;Azure;Firebase,Angular;.NET Core;Node.js,Angular;.NET Core;Node.js;React;Xamarin,Notepad++;Sublime Text;Visual Studio;Visual Studio Code,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
20765,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,9-11 years,12-14 years,Back-end developer;Database administrator;Educator or academic researcher;Engineering manager;Front-end developer,18720.0,CoffeeScript;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell,JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;PostgreSQL;SQLite;Memcached,MongoDB;PostgreSQL;Memcached,Amazon Echo;Android;Arduino;AWS;Google Home;Linux;Mac OS;Firebase,Arduino;AWS;Google Home;Linux;Mac OS;Firebase,Node.js;React,Angular;Node.js;React;TensorFlow;Torch/PyTorch,Atom;Vim;Visual Studio Code,MacOS,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
20823,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,12-14 years,12-14 years,Back-end developer;DevOps specialist;Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
20844,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,6-8 years,12-14 years,Embedded applications or devices developer,25080.0,C,C;C++;Python,SQLite,,Linux,Linux,,,Vim,Linux-based,25 - 34 years old,Male,Contribute to open-source projects,,,,,
20849,Employed full-time,Some college/university study without earning a degree,10 to 19 employees,0-2 years,3-5 years,Back-end developer;Database administrator;Front-end developer;Full-stack developer;Student,7116.0,C;C++;C#;Java;JavaScript;PHP;R;SQL;HTML;CSS,C++;C#;Rust;TypeScript,SQL Server;MySQL;PostgreSQL,"MySQL;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure;Linux,Android;Azure;iOS;Linux;Serverless;Windows Desktop or Server,.NET Core,Angular;.NET Core;Xamarin,NetBeans;Visual Studio;Visual Studio Code,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
20919,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,3-5 years,3-5 years,Back-end developer;Designer;Front-end developer;Full-stack developer,6816.0,C#;JavaScript;HTML;CSS,C#;JavaScript;HTML;CSS,SQL Server,Cassandra;MongoDB;Redis,Windows Desktop or Server,Linux;Raspberry Pi;Windows Desktop or Server,,Angular;.NET Core;Node.js;React;TensorFlow,Notepad++;Visual Studio;Visual Studio Code,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
20936,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,,3-5 years,Full-stack developer,,C;C++;Go;Java;JavaScript;Python;Ocaml;HTML;CSS;Bash/Shell,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
21003,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,3-5 years,6-8 years,Back-end developer;Front-end developer;Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
21028,Employed full-time,"Professional degree (JD, MD, etc.)",20 to 99 employees,12-14 years,15-17 years,Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer;Product manager;QA or test developer,11232.0,C#;Java;JavaScript;SQL;HTML;CSS,C#;Java;JavaScript;SQL;Kotlin;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)","SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;Azure;Windows Desktop or Server;Firebase,Android;Azure;iOS;Windows Desktop or Server;Firebase,Xamarin,Angular;.NET Core;Xamarin,Android Studio;Visual Studio,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
21033,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,0-2 years,9-11 years,Back-end developer;Designer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;Full-stack developer;Game or graphics developer;Student,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
21212,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,24-26 years,24-26 years,Back-end developer;Educator or academic researcher;Front-end developer;Full-stack developer;Mobile developer,,C#;JavaScript;CSS,C#,SQL Server,SQL Server;SQLite,Windows Desktop or Server,Android;iOS;Windows Desktop or Server,Xamarin,.NET Core;Node.js;Xamarin,Visual Studio;Visual Studio Code,Windows,,,Contribute to open-source projects,,,,,
21246,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,,0-2 years,Student,,,JavaScript;Bash/Shell,,MongoDB,Linux;Mac OS,Linux;Mac OS,,Node.js,Vim,MacOS,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
21265,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","10,000 or more employees",9-11 years,9-11 years,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,26952.0,C#;JavaScript;PHP;SQL;TypeScript;HTML;CSS,JavaScript;PHP;Python;R;SQL;Swift;TypeScript;HTML;CSS,SQL Server;MySQL;PostgreSQL;Oracle,MongoDB;SQL Server;MySQL,WordPress,Android;Arduino;Azure;Gaming console;Google Cloud Platform/App Engine;IBM Cloud or Watson;iOS;WordPress,Angular;.NET Core;Node.js,Angular;Hadoop;Node.js,Notepad++;Visual Studio Code,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
21271,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,21-23 years,21-23 years,Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer,,C#;Go;Java;JavaScript;PHP;SQL;Delphi/Object Pascal;Cobol;HTML;CSS,C#;Go;JavaScript;Python;Rust;SQL;TypeScript;Kotlin;Delphi/Object Pascal,SQL Server;MySQL;PostgreSQL;SQLite;MariaDB;Amazon DynamoDB,"Redis;PostgreSQL;Amazon DynamoDB;Memcached;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage;Neo4j;Elasticsearch",Android;AWS;Google Cloud Platform/App Engine;Linux;Windows Desktop or Server,Android;Arduino;AWS;Azure;Google Cloud Platform/App Engine;Linux;Windows Desktop or Server;Firebase,.NET Core,Angular;.NET Core;Node.js;React;Xamarin;Spring;TensorFlow,IntelliJ;PHPStorm;Sublime Text;Vim;Visual Studio;Visual Studio Code,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
21328,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",500 to 999 employees,3-5 years,3-5 years,Back-end developer;Full-stack developer,7488.0,Java;JavaScript;SQL;TypeScript;Cobol;HTML;CSS,Java;JavaScript;SQL;TypeScript;Kotlin;HTML;CSS,MongoDB;MySQL;PostgreSQL;SQLite;Oracle,Cassandra;MongoDB;Oracle;Elasticsearch,Android;Linux;Firebase,Arduino;Linux;Raspberry Pi;Firebase,Node.js;React;Spring,Node.js;Spring,Eclipse;Visual Studio Code,Linux-based,18 - 24 years old,Male,Contribute to open-source projects,,,,,
21433,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,0-2 years,3-5 years,Back-end developer;Desktop or enterprise applications developer;Mobile developer;Student,11700.0,Java;JavaScript;PHP;TypeScript;Kotlin;HTML;CSS,Go;Groovy;Java;JavaScript;Objective-C;PHP;Python;Scala;Swift;TypeScript;Kotlin;HTML;CSS,SQL Server;MySQL;SQLite;Oracle;MariaDB,Cassandra;MongoDB;Redis;SQL Server;MySQL;SQLite;Oracle;MariaDB;Neo4j;Elasticsearch,Android;Heroku;Linux;Windows Desktop or Server,Android;Arduino;Heroku;iOS;Linux;Windows Desktop or Server,Spring,Angular;Django;Node.js;React;Spring,Android Studio;Eclipse;IntelliJ;NetBeans;PHPStorm;PyCharm;Visual Studio Code,Linux-based,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
21556,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,0-2 years,9-11 years,Back-end developer;Database administrator;Front-end developer;Full-stack developer,,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
21632,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,18-20 years,18-20 years,Back-end developer;Mobile developer,37428.0,Java;Python;Kotlin,Python;Swift;Kotlin,MySQL;SQLite,MySQL;PostgreSQL;SQLite,Android,Android;iOS,Django,Django,Android Studio;Atom;PyCharm,Linux-based,35 - 44 years old,Male,Contribute to open-source projects,,,,,
21763,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,0-2 years,3-5 years,Back-end developer;Desktop or enterprise applications developer;Full-stack developer;Game or graphics developer;Student,,JavaScript;PHP;SQL;HTML;CSS,Java;JavaScript;Python;HTML,MySQL,MongoDB;MySQL;PostgreSQL,Linux,Linux,Node.js,Django;Node.js;Cordova,Atom;Eclipse;Sublime Text;Vim,Linux-based,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
21799,Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees,0-2 years,0-2 years,Back-end developer;Front-end developer;Full-stack developer;Mobile developer,4116.0,C#;Java;JavaScript;HTML;CSS,JavaScript;HTML;CSS,MySQL,MySQL,Android;AWS,AWS,Node.js;React,Node.js;React,Visual Studio Code,Windows,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
21850,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",12-14 years,21-23 years,Full-stack developer,56148.0,JavaScript;SQL;VBA;VB.NET;HTML;CSS,C#;F#;JavaScript;SQL;VBA;VB.NET;HTML;CSS,MySQL;SQLite,"MySQL;PostgreSQL;SQLite;Amazon DynamoDB;Microsoft Azure (Tables, CosmosDB, SQL, etc);Google Cloud Storage",Windows Desktop or Server,Windows Desktop or Server,.NET Core,.NET Core,Visual Studio,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
21894,Employed full-time,Some college/university study without earning a degree,500 to 999 employees,3-5 years,9-11 years,Back-end developer,18336.0,JavaScript;Python;HTML;CSS;Bash/Shell,Erlang;Java;JavaScript;Rust;SQL,MySQL,PostgreSQL;Google Cloud Storage;Neo4j,Linux;Windows Desktop or Server,Android;Heroku;Raspberry Pi;Serverless,,Django;Node.js;React;TensorFlow,IPython / Jupyter;PyCharm;Sublime Text;Vim,Linux-based,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
21898,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,3-5 years,9-11 years,Back-end developer;Full-stack developer,18684.0,C#;JavaScript;SQL;HTML;CSS,C#;JavaScript;SQL;TypeScript;HTML;CSS,SQL Server,MongoDB;SQL Server;Oracle;Amazon DynamoDB;Google Cloud Storage,,,,,,,,,Contribute to open-source projects,,,,,
21911,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Fewer than 10 employees,0-2 years,0-2 years,Back-end developer;Data or business analyst;Database administrator,26196.0,Assembly;C;C++;Java;JavaScript;Matlab;Python;R;SQL;Bash/Shell,Java;JavaScript;Matlab;Python;R;SQL;Bash/Shell,Amazon Redshift,Amazon Redshift;Google BigQuery;Google Cloud Storage,Android;Arduino;AWS;iOS,AWS;Google Cloud Platform/App Engine,,Django;Hadoop;Spark;TensorFlow,Atom;Sublime Text,MacOS,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
21972,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,6-8 years,12-14 years,Back-end developer,29196.0,Java;JavaScript;SQL;HTML;Bash/Shell,Java;JavaScript;Kotlin,MySQL,MongoDB;Redis;MySQL;Amazon RDS/Aurora,,AWS,Spring,Node.js;Spring,IntelliJ;Visual Studio Code,Linux-based,25 - 34 years old,Male,Contribute to open-source projects,,,,,
21975,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","5,000 to 9,999 employees",6-8 years,9-11 years,Back-end developer;Full-stack developer,25500.0,,,,,,,,,,,,,Hobby;Contribute to open-source projects,,,,,
21987,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",100 to 499 employees,9-11 years,12-14 years,Back-end developer;Full-stack developer,,Java;JavaScript;SQL;HTML;CSS,C#;F#;Kotlin,MongoDB;SQL Server,"MongoDB;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Linux,AWS;Azure;Linux,React;Spring,Angular;Node.js;React;Spring,IntelliJ;Visual Studio Code,Windows,25 - 34 years old,Male,Hobby;Contribute to open-source projects,,,,,
22039,Employed part-time,Some college/university study without earning a degree,100 to 499 employees,0-2 years,3-5 years,Back-end developer;Front-end developer;Full-stack developer;Student;System administrator,,C;C++;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,Go;Haskell;Lua;Objective-C;Rust;Swift;TypeScript;Kotlin,MySQL;MariaDB,MongoDB;Elasticsearch,Arduino;ESP8266;Linux;Mac OS;WordPress,Amazon Echo;Android;Apple Watch or Apple TV;Gaming console;iOS;Raspberry Pi,Angular;Node.js;Cordova,React;Xamarin;TensorFlow;Torch/PyTorch,PHPStorm;PyCharm;Sublime Text;Visual Studio Code;Xcode,MacOS,18 - 24 years old,Male,Hobby;Contribute to open-source projects,,,,,
22085,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","10,000 or more employees",21-23 years,21-23 years,Back-end developer;Front-end developer;Full-stack developer,,C#;JavaScript;SQL;HTML;CSS;Bash/Shell,C#;JavaScript;SQL;TypeScript;Kotlin;Bash/Shell,MongoDB;SQL Server,MongoDB;SQL Server;Google Cloud Storage,Azure;Windows Desktop or Server;Windows Phone,Android;Azure;Linux;Windows Desktop or Server;Firebase,,Angular;.NET Core;Node.js,Notepad++;Visual Studio,Windows,35 - 44 years old,Male,Hobby;Contribute to open-source projects,,,,,
