ResponseId,MainBranch,Employment,EdLevel,OrgSize,YearsCodePro,YearsCode,DevType,ConvertedCompYearly,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,Age,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,CodingActivities,Gender
29681,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,23,23,"Developer, mobile",,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Kotlin;Objective-C;PHP;Ruby;SQL;Swift;TypeScript,Bash/Shell (all shells);Objective-C;SQL;Swift,Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,SQLite,Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku;Microsoft Azure;VMware,,AngularJS;ASP.NET;Django;Drupal;jQuery;Laravel;Node.js;React;Ruby on Rails;Symfony;WordPress,React,Android Studio;Atom;Eclipse;IntelliJ IDEA;Netbeans;PhpStorm;Sublime Text;TextMate;Visual Studio Code;Xcode,Xcode,iOS;MacOS,35-44 years old,Cordova;Flutter;GTK;Ionic;OpenGL;React Native,SwiftUI,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work,
29726,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",14,18,"Developer, back-end",40575.0,C#;Clojure;JavaScript;PHP,C#;Clojure;Elixir;JavaScript;PHP,Cockroachdb;Datomic;MySQL;SQLite,Cockroachdb;Datomic;MySQL;SQLite,Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET CORE;Laravel,ASP.NET CORE;Laravel;Phoenix,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,MacOS;Windows,25-34 years old,.NET (5+) ,.NET (5+) ,Hobby;Bootstrapping a business;Freelance/contract work,
29760,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,11,14,"Developer, back-end",34083.0,C;Go;PHP,C;Go;PHP;Rust;Zig,Dynamodb;MySQL;Redis,Dynamodb;InfluxDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS),"Amazon Web Services (AWS);Fly.io;Google Cloud;Linode, now Akamai;Netlify",,,Visual Studio Code,Visual Studio Code,Arch;Debian,25-34 years old,,,Hobby,
29763,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","5,000 to 9,999 employees",28,30,"Developer, back-end",58023.0,Bash/Shell (all shells);Clojure;Dart;Go;HTML/CSS;Java;Python;Scala;SQL,,BigQuery;Datomic;MongoDB;PostgreSQL;Redis;Solr,,Amazon Web Services (AWS);Google Cloud,,FastAPI;Spring Boot,,Android Studio;IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,,MacOS,45-54 years old,Apache Kafka;Flutter;Spring Framework,,Hobby;Professional development or self-paced learning from online courses,
29773,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,28,30,"Developer, full-stack",,Bash/Shell (all shells);C;Clojure;Java;JavaScript;Kotlin;Ruby;Rust;SQL,Bash/Shell (all shells);C;Clojure;Haskell;Java;JavaScript;Kotlin;Ruby;Rust;SQL,Microsoft SQL Server;PostgreSQL;Redis;SQLite,Datomic;PostgreSQL;Redis;SQLite,"Amazon Web Services (AWS);Digital Ocean;Linode, now Akamai;Managed Hosting;Oracle Cloud Infrastructure (OCI)","Amazon Web Services (AWS);Digital Ocean;Linode, now Akamai;Managed Hosting",jQuery;Ruby on Rails;Vue.js,Ruby on Rails,Android Studio;Neovim;Vim,Android Studio;Neovim;Vim,Android;Ubuntu,45-54 years old,,,Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses,
29851,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",6,9,"Developer, back-end",,C;Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,C;Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,BigQuery;Cassandra;Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite,BigQuery;Cassandra;Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cloudflare;Oracle Cloud Infrastructure (OCI),Cloudflare;Oracle Cloud Infrastructure (OCI),React;Spring Boot,React;Spring Boot,Eclipse;IntelliJ IDEA;Neovim;Netbeans;Notepad++;Visual Studio Code,IntelliJ IDEA;Neovim;Notepad++;Visual Studio Code,MacOS;Ubuntu;Windows Subsystem for Linux (WSL),25-34 years old,,,Hobby,
29887,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,6,12,Other (please specify):,30431.0,Java;JavaScript;SQL,Dart;Java;JavaScript;Kotlin;SQL;Swift;TypeScript,H2;Microsoft SQL Server;Redis,H2;Microsoft SQL Server;Redis,"Firebase;Linode, now Akamai","Linode, now Akamai",,,Eclipse;IntelliJ IDEA;Sublime Text,Eclipse;Sublime Text;Visual Studio Code;Xcode,Android;iOS;MacOS;Windows,25-34 years old,Cordova;JAX,JAX;React Native;Spring Framework;SwiftUI,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,
29895,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,1,5,"Developer, mobile",26374.0,Kotlin,Kotlin;Swift,,,Firebase,Firebase,,,Android Studio;IntelliJ IDEA;Visual Studio Code,Android Studio;IntelliJ IDEA;Xcode,Windows,35-44 years old,,,Hobby;Professional development or self-paced learning from online courses,
29906,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",10,14,Database administrator,40575.0,Apex;Bash/Shell (all shells);SQL,Apex;Bash/Shell (all shells);SQL,Oracle,Oracle,Oracle Cloud Infrastructure (OCI),Oracle Cloud Infrastructure (OCI),WordPress,WordPress,Notepad++;Vim;Visual Studio Code,Notepad++;Vim;Visual Studio Code,AIX;Other Linux-based;Red Hat;Solaris;Windows;Windows Subsystem for Linux (WSL),35-44 years old,,,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work,
29958,I am learning to code,"Not employed, but looking for work",Some college/university study without earning a degree,,,2,"Developer, full-stack",,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,MongoDB,MongoDB;MySQL,Firebase;Heroku;Vercel,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Vercel,Next.js;Node.js;React,Next.js;Node.js;React,Visual Studio Code,Visual Studio Code,Windows,25-34 years old,,,,
29973,I am a developer by profession,"Employed, full-time","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20 to 99 employees,2,7,"Developer, back-end",29011.0,C#;JavaScript;PHP;Python;SQL;TypeScript,C#;JavaScript;Python;SQL;TypeScript,MongoDB;MySQL;PostgreSQL,MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET;Express;Node.js;Vue.js,ASP.NET;Express;Node.js;React;Vue.js,Visual Studio Code,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),25-34 years old,,,Hobby;Professional development or self-paced learning from online courses,
29982,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,10,12,"Developer, full-stack",107524.0,C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),C#;HTML/CSS;JavaScript,Microsoft SQL Server;Oracle,,,,ASP.NET;ASP.NET CORE,ASP.NET CORE,Visual Studio;Visual Studio Code,Vim;Visual Studio;Visual Studio Code,MacOS;Windows,25-34 years old,.NET (5+) ,.NET (5+) ,I don’t code outside of work,
29998,I am a developer by profession,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","5,000 to 9,999 employees",16,18,Engineering manager,131869.0,Bash/Shell (all shells);Clojure;Go;HTML/CSS;JavaScript;Lua;Python;Ruby;SQL,HTML/CSS;JavaScript;Lua;Ruby;SQL,Couch DB;Datomic;Dynamodb;Elasticsearch;PostgreSQL;Redis,PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Managed Hosting;Vultr,Amazon Web Services (AWS);Managed Hosting,Svelte,Svelte,Sublime Text,Sublime Text,Debian,25-34 years old,Apache Kafka,Apache Kafka,Hobby;Contribute to open-source projects;Bootstrapping a business,
30025,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,"5,000 to 9,999 employees",15,15,"Developer, back-end",89265.0,Clojure,Clojure;Dart,Datomic;Dynamodb,Datomic;Dynamodb,Amazon Web Services (AWS),Amazon Web Services (AWS),,,Emacs;IntelliJ IDEA;Jupyter Notebook/JupyterLab;VSCodium,Emacs;IntelliJ IDEA;VSCodium,MacOS,35-44 years old,Apache Spark,Flutter,I don’t code outside of work,
30026,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,"1,000 to 4,999 employees",7,9,Engineering manager,34083.0,Bash/Shell (all shells);Clojure;Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,BigQuery;Elasticsearch;MongoDB;Oracle;PostgreSQL;Redis,BigQuery;Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL;Redis;Solr,Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Google Cloud,Express;Node.js;React;Spring Boot,Express;Next.js;Node.js;React;Spring Boot;Vue.js,IntelliJ IDEA;Nano;Visual Studio Code,IntelliJ IDEA;Nano;Visual Studio Code,Ubuntu;Windows,25-34 years old,Apache Kafka;JAX;RabbitMQ;Spring Framework,Apache Kafka;RabbitMQ;Spring Framework,Hobby;Professional development or self-paced learning from online courses,
30083,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,18,18,"Developer, full-stack",32866.0,JavaScript;Python,Go;JavaScript;Python;TypeScript,MongoDB;PostgreSQL,MongoDB;PostgreSQL,Colocation;Digital Ocean,Colocation;Digital Ocean,Express;Node.js;React,FastAPI;Qwik;React,Eclipse;Notepad++;Visual Studio Code,Neovim;Visual Studio Code,Debian;MacOS;Ubuntu,35-44 years old,React Native,,Professional development or self-paced learning from online courses;Freelance/contract work,
30139,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,10,18,"Developer, back-end",,C#;JavaScript,C#,Microsoft SQL Server;MongoDB,Microsoft SQL Server,Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;React,,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,35-44 years old,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ,School or academic work,
30160,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,21,25,"Developer, desktop or enterprise applications",,C#;HTML/CSS;JavaScript;SQL,C#;Elixir;HTML/CSS;JavaScript;SQL,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;SQLite,Cassandra;Microsoft SQL Server;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Heroku,Amazon Web Services (AWS);Cloudflare;Hetzner,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;Phoenix;React,ASP.NET;ASP.NET CORE;Express;jQuery;Node.js;Phoenix;React,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,MacOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL),35-44 years old,.NET (5+) ;.NET Framework (1.0 - 4.8);Cordova;Electron;RabbitMQ,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;RabbitMQ,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work,
30180,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,"10,000 or more employees",6,10,"Engineer, data",,Bash/Shell (all shells);JavaScript;Scala;SQL;TypeScript,Python;Rust;Scala;SQL,PostgreSQL,,Microsoft Azure,,Node.js,,IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,MacOS;Other Linux-based;Windows Subsystem for Linux (WSL),25-34 years old,Apache Spark;Hadoop,Apache Kafka;Apache Spark;Hadoop;NumPy;Pandas,,
30184,I am a developer by profession,"Employed, full-time",Some college/university study without earning a degree,10 to 19 employees,12,12,"Developer, full-stack",26374.0,C#;HTML/CSS;Java;JavaScript;MATLAB;SQL,C#;HTML/CSS;JavaScript;SQL,MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;SQLite,MariaDB;Microsoft SQL Server,Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;jQuery;Node.js,ASP.NET CORE;jQuery;Node.js,Android Studio;Eclipse;Notepad++;Rider;Visual Studio;Visual Studio Code,Rider,Windows,25-34 years old,.NET (5+) ;.NET Framework (1.0 - 4.8);Xamarin,.NET (5+) ;Electron,Hobby;Contribute to open-source projects;Freelance/contract work,
30251,I am a developer by profession,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,12,"Developer, back-end",,Bash/Shell (all shells);Clojure;Dart;Java;Python;SQL,Bash/Shell (all shells);Clojure;Java;Python,Datomic;Dynamodb;H2,Cassandra;Datomic;Dynamodb,Amazon Web Services (AWS);Firebase,Amazon Web Services (AWS),,,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,Emacs;IntelliJ IDEA,MacOS;Windows;Windows Subsystem for Linux (WSL),25-34 years old,Keras;NumPy;Opencv;Pandas;TensorFlow,TensorFlow,Contribute to open-source projects;Professional development or self-paced learning from online courses;School or academic work,
30282,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,20,25,"Engineer, site reliability",81150.0,Bash/Shell (all shells);Elixir;Go;Java;JavaScript;Python;Ruby;SQL,Bash/Shell (all shells);Elixir;Python;Ruby;SQL,BigQuery;PostgreSQL;Redis;SQLite,Datomic;Dynamodb;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Google Cloud;Render;Vercel,Amazon Web Services (AWS);Cloudflare;Firebase;Fly.io;Google Cloud;Netlify,Flask;Laravel;Phoenix;React;Ruby on Rails;Spring Boot;WordPress,Phoenix;Ruby on Rails,Android Studio;Neovim;Vim;Visual Studio Code,Vim,MacOS;Ubuntu,35-44 years old,Opencv;RabbitMQ;TensorFlow,Flutter;Opencv;TensorFlow,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses;Other (please specify):,
30293,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,15,18,"Developer, full-stack",73035.0,C#;JavaScript;TypeScript,Rust,Microsoft SQL Server,,Microsoft Azure,,ASP.NET CORE,,Notepad++;Visual Studio;Visual Studio Code,,,35-44 years old,.NET (5+) ;Uno Platform,,Contribute to open-source projects;Bootstrapping a business;Professional development or self-paced learning from online courses,
30300,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2 to 9 employees,5,6,"Developer, front-end",77904.0,Bash/Shell (all shells);C;HTML/CSS;JavaScript;Lua;PHP;Python;Ruby;Rust,Bash/Shell (all shells);GDScript;Go;Lua;Rust,MongoDB;MySQL,,,,Angular;Express;jQuery;Next.js;React;Ruby on Rails;Svelte;Vue.js;WordPress,Deno;Qwik;Solid.js;Svelte,Android Studio;Nano;Neovim;Notepad++;Sublime Text;Vim;Visual Studio Code;VSCodium,Emacs;Nano;Neovim;Vim;VSCodium,Other Linux-based,18-24 years old,Electron;Ionic,GTK;OpenGL;Tauri,Hobby;Contribute to open-source projects;Freelance/contract work,
30365,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, part-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,5,"Developer, QA or test",,Dart;Java;Kotlin,C++;Dart;Java;Kotlin,Firebase Realtime Database;SQLite,Firebase Realtime Database,Firebase,Firebase,,,Android Studio;Fleet;IntelliJ IDEA;Visual Studio;Visual Studio Code;Xcode,Android Studio;Fleet;IntelliJ IDEA;Visual Studio;Visual Studio Code;Xcode,iOS;MacOS,18-24 years old,Flutter,Flutter,Hobby;School or academic work,
30366,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",11,13,"Developer, back-end",,Clojure;Java,Clojure;Java,Datomic;Dynamodb,Datomic;Dynamodb,Amazon Web Services (AWS),Amazon Web Services (AWS),,,Atom;IntelliJ IDEA;Visual Studio Code,IntelliJ IDEA;Visual Studio Code,MacOS,25-34 years old,,,I don’t code outside of work,
30407,I am a developer by profession,"Employed, full-time","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees,4,5,"Developer, full-stack",24345.0,JavaScript;Python;Solidity;SQL;TypeScript,C;C++;Go;JavaScript;Python;Rust;SQL;TypeScript,Firebase Realtime Database;MariaDB;MySQL;PostgreSQL;Redis;SQLite,Cassandra;Cockroachdb;DuckDB;Dynamodb;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite;Supabase,Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS);Cloudflare;Google Cloud;Vercel,Express;React,Deno;Express;FastAPI;Fastify;Next.js;Node.js;React;Solid.js;Svelte,Helix;Neovim;Visual Studio Code,Helix;Neovim;Visual Studio Code,Arch,18-24 years old,React Native,Apache Kafka;Apache Spark;Hadoop;Hugging Face Transformers;React Native;Tauri;Torch/PyTorch,Hobby;Professional development or self-paced learning from online courses,
30461,I am a developer by profession,"Employed, full-time;Student, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,4,"Developer, full-stack",,C;C#;HTML/CSS;Java;JavaScript;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Swift;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,Microsoft SQL Server;PostgreSQL;Redis,Heroku,Amazon Web Services (AWS);Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;React,ASP.NET CORE;Next.js;React,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code;Xcode,Android;iOS;Ubuntu;Windows,18-24 years old,.NET (5+) ;.NET Framework (1.0 - 4.8);React Native,.NET (5+) ;.NET MAUI;React Native,Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,
30486,I am a developer by profession,"Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)",20 to 99 employees,Less than 1 year,5,"Developer, full-stack",2921.0,Bash/Shell (all shells);HTML/CSS;Python;SQL;TypeScript,Bash/Shell (all shells);Dart;Elixir;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;Solidity;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Cloud Firestore;Cockroachdb;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,Google Cloud;Vercel,Firebase;Google Cloud;Vercel,Express;Fastify;NestJS;Next.js;Node.js;React;Solid.js;Spring Boot;Vue.js,CodeIgniter;Fastify;NestJS;Next.js;Node.js;Nuxt.js;Qwik;React;Remix;Solid.js;Spring Boot;Vue.js,Neovim,Neovim,Arch;Windows;Windows Subsystem for Linux (WSL),18-24 years old,Capacitor;Cordova;Ionic;NumPy;React Native;Spring Framework,Flutter;Ktor;Pandas;React Native;Spring Framework,Hobby;Professional development or self-paced learning from online courses,
30516,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,23,26,"Developer, desktop or enterprise applications",44836.0,Bash/Shell (all shells);Cobol;Delphi;Java;Ruby;Rust,Rust,Oracle,PostgreSQL,Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),,,Netbeans;Visual Studio Code,Visual Studio Code,Ubuntu;Windows;Windows Subsystem for Linux (WSL),35-44 years old,,,Bootstrapping a business;Professional development or self-paced learning from online courses,
30518,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",12,23,Data scientist or machine learning specialist,48690.0,Bash/Shell (all shells);C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Lisp;Lua;MATLAB;Perl;PHP;Python;R;SQL;VBA;Visual Basic (.Net),HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,BigQuery;Dynamodb;Firebird;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,BigQuery;MongoDB;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;OpenShift;Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Google Cloud;Microsoft Azure;OpenShift,Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;Express;FastAPI;Flask;jQuery;Node.js;React,Flask;Node.js;React,"Android Studio;Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Nano;Netbeans;Notepad++;PyCharm;Rad Studio (Delphi, C++ Builder);RStudio;Spyder;Sublime Text;Vim;Visual Studio;Visual Studio Code",IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio;Visual Studio Code,Android;BSD;Debian;iOS;iPadOS;MacOS;Red Hat;Solaris;Ubuntu;Windows,35-44 years old,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Apache Spark;Cordova;CUDA;Hadoop;Keras;NumPy;Opencv;Pandas;RabbitMQ;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,Apache Kafka;Apache Spark;CUDA;Flutter;Hadoop;Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,Hobby;Bootstrapping a business;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,
30554,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,6,8,"Developer, desktop or enterprise applications",24345.0,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,MongoDB;PostgreSQL;Redis,MongoDB;PostgreSQL;RavenDB;Redis,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS),ASP.NET CORE;React;Vue.js,ASP.NET CORE;FastAPI;React;Svelte;Vue.js,IntelliJ IDEA;Visual Studio Code,Visual Studio Code,Ubuntu,25-34 years old,.NET (5+) ,.NET (5+) ;Apache Kafka;CUDA;Hugging Face Transformers;TensorFlow,Bootstrapping a business;Professional development or self-paced learning from online courses,
30572,I am a developer by profession,"Employed, full-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,10,14,"Developer, full-stack",36923.0,C#,C#;JavaScript,Microsoft SQL Server;MongoDB,Microsoft SQL Server;MongoDB;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Amazon Web Services (AWS);Microsoft Azure,ASP.NET;ASP.NET CORE;React,Angular;ASP.NET;ASP.NET CORE;React;Vue.js,Rider;Visual Studio Code,Rider;Visual Studio Code,MacOS;Windows;Windows Subsystem for Linux (WSL),35-44 years old,.NET (5+) ;RabbitMQ,.NET (5+) ;RabbitMQ,Professional development or self-paced learning from online courses;Freelance/contract work,
30573,I am a developer by profession,"Independent contractor, freelancer, or self-employed;Employed, part-time","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,5,10,"Developer, full-stack",,HTML/CSS;JavaScript;VBA,HTML/CSS;JavaScript;TypeScript;VBA,Cloud Firestore,Cloud Firestore,Firebase;Google Cloud,Firebase;Google Cloud,jQuery;Node.js;React,Express;Next.js;Node.js;React,Visual Studio Code,Visual Studio Code,Windows,25-34 years old,,,Hobby;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work,
30587,I am a developer by profession,"Not employed, but looking for work","Associate degree (A.A., A.S., etc.)",,,11,"Developer, full-stack",,HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,C#;C++;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript,Dynamodb;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Dynamodb;Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Microsoft Azure;VMware,Amazon Web Services (AWS);Google Cloud,Django;Express;FastAPI;Flask;jQuery;NestJS;Next.js;Node.js;React;Spring Boot;WordPress,Angular;Django;Express;FastAPI;Flask;Node.js;React;Vue.js,Android Studio;Eclipse;PyCharm;Visual Studio Code,Visual Studio Code,Fedora;MacOS,25-34 years old,Qt;RabbitMQ;React Native;Spring Framework,NumPy;Pandas;RabbitMQ;React Native,,
30590,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Associate degree (A.A., A.S., etc.)","10,000 or more employees",5,9,"Developer, full-stack",42604.0,Clojure;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Dart;Go;Kotlin,BigQuery;Datomic;Dynamodb;MySQL;PostgreSQL;Redis,Elasticsearch;MongoDB,Amazon Web Services (AWS);Google Cloud,,Django;Express;FastAPI;Node.js;Nuxt.js;React;Vue.js,Next.js,IntelliJ IDEA;Visual Studio Code,Neovim,MacOS;Ubuntu;Windows Subsystem for Linux (WSL),18-24 years old,Apache Kafka;RabbitMQ;React Native,Flutter,Hobby;Bootstrapping a business;Freelance/contract work;School or academic work,
30641,I am a developer by profession,"Employed, full-time","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,4,10,Other (please specify):,,C#;Kotlin;Python;Scala,Kotlin;Python;Rust,Clickhouse;DuckDB;MongoDB;PostgreSQL;Snowflake,Clickhouse;DuckDB;Redis,Amazon Web Services (AWS);Digital Ocean,Amazon Web Services (AWS);Cloudflare;Google Cloud,Django;FastAPI;Flask,,IntelliJ IDEA;Nano;PyCharm;Vim;Visual Studio Code,IntelliJ IDEA;Nano;Vim;Visual Studio Code,MacOS;Ubuntu,25-34 years old,Apache Spark;RabbitMQ;Scikit-Learn,Apache Kafka;Spring Framework,Hobby,
